order_id,quantity,item_name,choice_description,item_price,item_price_per
1,1,chips and fresh tomato salsa,,2.39,2.39
1,1,izze, Clementine ,3.39,3.39
1,1,nantucket nectar, Apple ,3.39,3.39
1,1,chips and tomatillo green chili salsa,,2.39,2.39
2,2,chicken bowl, Tomatillo Red Chili Salsa Hot Black Beans Rice Cheese Sour Cream ,16.98,8.49
3,1,chicken bowl, Fresh Tomato Salsa Mild Rice Cheese Sour Cream Guacamole Lettuce ,10.98,10.98
3,1,side of chips,,1.69,1.69
4,1,steak burrito, Tomatillo Red Chili Salsa Fajita Vegetables Black Beans Pinto Beans Cheese Sour Cream Guacamole Lettuce ,11.75,11.75
4,1,steak soft tacos, Tomatillo Green Chili Salsa Pinto Beans Cheese Sour Cream Lettuce ,9.25,9.25
5,1,steak burrito, Fresh Tomato Salsa Rice Black Beans Pinto Beans Cheese Sour Cream Lettuce ,9.25,9.25
5,1,chips and guacamole,,4.45,4.45
6,1,chicken crispy tacos, Roasted Chili Corn Salsa Fajita Vegetables Rice Black Beans Cheese Sour Cream ,8.75,8.75
6,1,chicken soft tacos, Roasted Chili Corn Salsa Rice Black Beans Cheese Sour Cream ,8.75,8.75
7,1,chicken bowl, Fresh Tomato Salsa Fajita Vegetables Rice Cheese Sour Cream Guacamole ,11.25,11.25
7,1,chips and guacamole,,4.45,4.45
8,1,chips and tomatillo green chili salsa,,2.39,2.39
8,1,chicken burrito, Tomatillo Green Chili Salsa Medium Pinto Beans Cheese Sour Cream ,8.49,8.49
9,1,chicken burrito, Fresh Tomato Salsa Mild Black Beans Rice Cheese Sour Cream Lettuce ,8.49,8.49
9,2,canned soda, Sprite ,2.18,1.09
10,1,chicken bowl, Tomatillo Red Chili Salsa Fajita Vegetables Black Beans Sour Cream Cheese Lettuce ,8.75,8.75
10,1,chips and guacamole,,4.45,4.45
11,1,barbacoa burrito, Fresh Tomato Salsa Mild Tomatillo Green Chili Salsa Medium Tomatillo Red Chili Salsa Hot Rice Cheese Sour Cream Lettuce ,8.99,8.99
11,1,nantucket nectar, Pomegranate Cherry ,3.39,3.39
12,1,chicken burrito, Tomatillo Green Chili Salsa Medium Tomatillo Red Chili Salsa Hot Pinto Beans Rice Cheese Sour Cream Guacamole Lettuce ,10.98,10.98
12,1,izze, Grapefruit ,3.39,3.39
13,1,chips and fresh tomato salsa,,2.39,2.39
13,1,chicken bowl, Roasted Chili Corn Salsa Medium Pinto Beans Rice Fajita Veggies Cheese Sour Cream Lettuce ,8.49,8.49
14,1,carnitas burrito, Tomatillo Green Chili Salsa Medium Roasted Chili Corn Salsa Medium Black Beans Rice Sour Cream Lettuce ,8.99,8.99
14,1,canned soda, Dr Pepper ,1.09,1.09
15,1,chicken burrito, Tomatillo Green Chili Salsa Medium Pinto Beans Rice Cheese Sour Cream ,8.49,8.49
15,1,chips and tomatillo green chili salsa,,2.39,2.39
16,1,steak burrito, Roasted Chili Corn Salsa Medium Fresh Tomato Salsa Mild Rice Black Beans Sour Cream ,8.99,8.99
16,1,side of chips,,1.69,1.69
17,1,carnitas bowl, Tomatillo Red Chili Salsa Hot Black Beans Rice Fajita Veggies Cheese Sour Cream Lettuce ,8.99,8.99
17,1,bottled water,,1.09,1.09
18,1,chicken soft tacos, Roasted Chili Corn Salsa Rice ,8.75,8.75
18,1,chicken soft tacos, Roasted Chili Corn Salsa Cheese Lettuce ,8.75,8.75
18,1,chips and guacamole,,4.45,4.45
18,1,chips and tomatillo green chili salsa,,2.95,2.95
19,1,barbacoa bowl, Roasted Chili Corn Salsa Fajita Vegetables Rice Black Beans Cheese Sour Cream Guacamole Lettuce ,11.75,11.75
19,1,chips,,2.15,2.15
20,1,chips and guacamole,,4.45,4.45
20,1,chicken bowl, Roasted Chili Corn Salsa Rice Black Beans Cheese Sour Cream Guacamole Lettuce ,11.25,11.25
20,1,steak burrito, Fresh Tomato Salsa Rice Pinto Beans Cheese Sour Cream Guacamole Lettuce ,11.75,11.75
20,1,chicken salad bowl, Fresh Tomato Salsa Fajita Vegetables Pinto Beans Lettuce ,8.75,8.75
21,1,chicken burrito, Tomatillo Red Chili Salsa Hot Black Beans Fajita Veggies Cheese Sour Cream Guacamole Lettuce ,10.98,10.98
21,1,steak burrito, Tomatillo Red Chili Salsa Hot Rice Fajita Veggies Cheese ,8.99,8.99
21,1,izze, Blackberry ,3.39,3.39
22,1,steak burrito, Fresh Tomato Salsa Mild Roasted Chili Corn Salsa Medium Tomatillo Red Chili Salsa Hot Black Beans Rice Sour Cream ,8.99,8.99
22,1,chips and guacamole,,3.99,3.99
23,1,steak burrito, Roasted Chili Corn Salsa Medium Rice Fajita Veggies Cheese Sour Cream Lettuce ,8.99,8.99
23,2,canned soda, Mountain Dew ,2.18,1.09
